연번,현행 용어,쉬운 용어,한자 또는 외국어
1,가성,거짓,pseudo
2,가임여성,임신가능성 있는 여성,
3,간부전,간기능상실,肝不全/liver failure
4,간찰진,피부스침증,間擦疹/intertrigo
5,"간헐성파행증, 간헐파행증",이따금 절뚝거림,間歇性跛行症/ intermittent claudication
6,감독,독성을 줄임,減毒
7,감량,줄임,減量
8,감미,단맛,甘味
9,감신미,달고신맛,
10,감약,감소하여 복용(사용),
11,감작,과민상태로 만듦,感作/ sensitization
12,감정둔마,감정무딤,感情鈍痲
13,강축증,강직증,tetany
14,개구/구,구멍,orifice
15,개방동맥관,동맥관 개방증,開放動脈管/patent ductus arteriosus
16,개방창/ 개열된 상처,열린 상처,open wound
17,개시투여량,첫 투여량,開始投與量/initial dose
18,개존,"개방, 열린",patent
19,객담,가래,sputum
20,거담제,가래약,expectorant
21,건,힘줄,tendon
22,건냉소,건조하고 시원한 곳,乾冷所
23,건냉암소,"건조,시원,어두운 곳",乾冷暗所
24,건선,"건선,마른비늘증",乾癬/ psoriasis
25,건성안,눈마름,dry eye
26,건소보관,건조한 곳에 보관,乾所保管
27,건염,힘줄염,tendinitis/ tendonitis
28,건초염,힘줄윤활막염,peritendonitis/ tenosynovitis
29,건피증,피부건조증,xeroderma
30,검결막염,눈꺼풀결막염,blepharoconjunctivitis
31,검구유착,결막붙음증,symblepharon
32,게실,곁주머니,diverticulum
33,격통,심한 고통,激痛
34,견갑골,어깨뼈,scapula
35,견관절,어깨관절,肩關節/ shoulder joint
36,견당식장애/지남력상실,방향감각장애/지남력장애,指南力喪失/ orientation disturbance
37,견수증후군,어깨손증후군,shoulder-hand syndrome
38,견통,"어깨결림, 어깨통증",肩痛/omalgia/omodynia
39,결막낭,결막주머니,conjunctival sac
40,결막하,결막밑,subconjunctival
41,결찰술,"묶기, 묶음술",ligation
42,겸자,집게,forceps
43,경견완증후군,목어깨팔증후군,頸肩腕症候群
44,경결,단단해짐,induration
45,경골,정강뼈,tibia
46,경구투여한다,"먹는다, 복용한다",
47,경동맥,목동맥,carotid artery
48,경면/기면/면기,졸음,somnolence/ lethargy/drowsiness
49,경미한,"가벼운,대수롭지 않은",輕微
50,경부통,목통증,頸部痛/neckpain
51,경증,"경증상, 가벼운 증상",痙症/ mild symptom
52,경지증,손발가락경화증,sclerodactyly
53,경직,굳음,硬直
54,경추,목뼈,cervical spine
55,경피적,피부경유,經皮的/ percutaneous
56,경피증,피부경화증,scleroderma
57,경한,땀이 조금 남,輕汗
58,고관절,엉덩관절,hip joint
59,고뇨산혈증,요산과다증,高尿酸血症 /hyperuricacidemia
60,고령자,노인,
61,고미,쓴 맛,bitter
62,고부백선,대퇴부백선,股部白癬/tineacruris
63,고식적,임기응변적,姑息的/palliative
64,고장/고창,복부팽만/북배,鼓脹/ drum belly/abdominal distention
65,고정약진,약에 의한 피부발진,固定藥疹/fixed drug eruption
66,고초열,꽃가루 알레르기비염,枯草熱/hay fever
67,곤충자상,벌레물린 상처,昆蟲刺傷/ stings/insect
68,골,뼈,bone
69,골다공증,뼈엉성증,osteoporosis
70,골단,뼈끝,epiphysis
71,골막,뼈막,periosteal
72,골수,뼈속질,bone marrow
73,골연령,뼈나이,bone age
74,골연화,뼈연화,ossifluence
75,골이영양증,뼈형성장애,osteodystrophy
76,골조송증,뼈엉성증,osteoporosis
77,골화 지연,뼈발달지연,骨化遲延
78,공기연하증,공기삼킴증,aerophagy
79,공막,흰자위막,sclera
80,공복,빈 속,
81,공수병,물공포증,hydrophobia
82,공여,"기증, 주기, 헌혈",donor
83,공여부,"주는 부위, 공여부",donor area
84,공여자,"주는이, 주는 부위, 제공자, 제공 부위",donor
85,공장,빈창자,jejunum
86,과산증,위산과다증,chlorhydria
87,과이완,심하게 이완됨,過弛緩
88,관류저하,혈류감소,管流低下/hypoperfusion
89,관상동맥,심장동맥,coronary artery
90,관침,주사침,
91,괄약근,조임근,sphincter
92,광유성 사하제,기름성 설사약,鑛油性 瀉下劑/ mineral
93,교상,물린상처,bite wound
94,교원섬유,콜라겐섬유,膠原纖維/collagenous fiber
95,교원성 질환,콜라겐 질환,膠原性 疾患
96,교질,콜로이드,膠質/colloid
97,구각염,입꼬리염,angular stomatitis
98,구갈증,목마름증,hydrodipsomania
99,구강,입안,口腔
100,구개,입천장,palate
101,구개수,목젖,uvula
102,구기,메스꺼움,嘔氣
103,구내염,입안염,stomatitis
104,구내이상감,입안이상감,
105,구순건조감,입술건조감,口脣乾燥感
106,구순열,입술갈림증,cleft lip
107,구순염,입술염,cheilitis
108,구순유착증,입술붙음증,synchilia
109,구제,없앰,驅除
110,구취,입냄새,ozostomia
111,굴근,굽힘근육,flexor
112,굴염,부비동염,sinusitis
113,균열,갈라짐,龜裂/ crack
114,근 긴장,근육긴장,muscle tone
115,근경련,근육경련,myospasm
116,근무력증,근육무력증,myasthenia
117,근변력,근육 수축력,inotropic
118,근병증,근육병증,myopathy
119,근위부,몸쪽,proximal
120,근피신경,근육피부신경,musculocutaneous nerve
121,급성 호흡 부전,급성 호흡 기능상실,急性呼吸不全
122,급성동통,급성통증,急性疼痛
123,기분변조,기분저하증,dysthymia
124,기왕력,병력,旣往歷/ case history
125,기왕증,과거 질병,旣往症
126,기외수축,조기수축,premature contraction
127,기지의,이미 알려진,
128,기흉,공기가슴증,pneumothorax
129,길항작용,"억제작용, 대항작용",counteraction
130,길항제,"억제제, 대항제",antagonists
131,나균,한센병균,mycobacterium leprae
132,나태,게으름,懶怠
133,난원공개존,열린타원구멍,patent foramen ovale
134,난청,귀먹음,deafness
135,내약성,약에 대한 내성,
136,내이,속귀,inner ear
137,냉소,시원한 곳,冷所
138,냉암소,시원하고 어두운 곳,冷暗所
139,냉한,식은땀,cold sweating
140,노동성 호흡곤란/노작 성 호흡곤란,운동호흡곤란,exertional dyspnea
141,녹농,푸른 고름,綠膿
142,농,고름,pus
143,농가진,고름딱지증,impetigo
144,농뇨,"고름뇨,농뇨",膿尿/pyuria
145,농양,고름집,abscess
146,농포,고름물집,pustule
147,농피증,고름피부증,pyoderma
148,농흉,가슴고름집,膿胸/empyema
149,뇌수종,"물뇌증, 수두증",腦水腫/ hydrocephalus
150,뇌일혈,뇌출혈,腦溢血/ cerebral hemorrhage
151,뇨저류,소변이 고임,ischuria
152,누,눈물,lacrimal
153,누공,샛길,fistula
154,누낭비강,눈물주머니코안,淚囊鼻腔
155,누낭염,눈물주머니염,dacryocystitis
156,누도,눈물길,lacrimal passages
157,누선염,눈물샘염,dacryoadenitis
158,누안,눈물흘림,epiphora / watery eye
159,누액,눈물,tears
160,늑골,갈비뼈,rib
161,늑막,"가슴막, 흉막",pleural
162,다뇨,소변량과다,polyuria
163,다맥색,진한 갈색,茶麥色
164,다모증,털과다증,pilosis
165,다발성신경염,"여러신경염, 다발신경염",polyneuritis
166,다한증,땀과다증,polyhidrosis/ hyperhidrosis
167,다행증,이상행복감,多幸症/euphoria
168,단락술,"지름길, 지름술, 션트, 사잇 길",shunt
169,단신증,단일신장증,單腎症
170,단안증,외눈증,cyclopia
171,단회투여,1회 투여,單回投與
172,담객출,가래뱉음,痰喀出
173,담관,쓸개관,bile duct
174,담낭,쓸개,gallbladder
175,담낭절제술,쓸개절제술,cholecystectomy
176,담낭축농,"고름쓸개, 고름담낭",膽囊蓄膿
177,담녹색,"엷은녹색, 연두빛",淡綠色
178,담도,"담관, 쓸개길",biliary tract
179,담도폐쇄증,쓸개길폐쇄증,biliary atresia
180,담마진,두드러기,urticaria
181,담즙,쓸개즙,gall
182,담즙울체,쓸개즙정체,cholestasis
183,당내성,포도당 내성,glucose tolerance(당부하)
184,대구치,큰어금니,molar
185,대동맥류,대동맥자루,大動脈瘤/aortic aneurysm
186,대망,그물막,omentum
187,대증요법,증상별로 치료하는 방법,symptomatic therapy
